 6505;0446605581;8 
 6505;0671627759;6 
 6507;8466305270;8 
 6507;8466307664;7 
 6507;8479019395;6 
 6507;8483100959;7 
 6507;849515708X;10 
 6509;0330346261;8 
 6509;3257211945;6 
 6509;3257231008;7 
 6509;342312203X;8 
 6509;3442448387;8 
 6509;3499156717;8 
 6514;067187876X;5 
 6516;0575004630;7 
 6516;0671742515;6 
 6516;0713724048;5 
 6516;1858913292;6 
 6524;000211737;9 
 6529;8481305081;8 
 6532;0028617363;9 
 6532;0060952822;7 
 6532;0312863853;10 
 6532;031286504X;9 
 6532;0345384229;10 
 6532;0345413997;9 
 6532;038533348X;9 
 6532;0385334206;9 
 6532;0425099334;4 
 6532;0425181103;7 
 6532;0449006883;5 
 6532;0449220605;8 
 6532;0552124753;7 
 6532;0552128481;9 
 6532;0552131059;7 
 6532;0552131067;10 
 6532;0552131075;7 
 6532;0552134600;8 
 6532;0552134619;7 
 6532;0552134627;10 
 6532;0552134635;7 
 6532;0552137030;10 
 6532;0553106651;9 
 6532;0553379267;9 
 6532;0553560719;7 
 6532;0553560735;8 
 6532;055358460X;5 
 6532;0671024345;6 
 6532;0671025538;10 
 6532;0671027492;6 
 6532;0671032658;8 
 6532;0743457358;7 
 6532;0812550706;9 
 6532;0886779146;10 
 6532;1853260150;8 
 6532;1853260444;8 
 6532;1853260614;8 
 6532;1853260770;9 
 6535;0385504209;10 
 6537;0060391022;8 
 6537;0312859589;5 
 6537;0316284955;8 
 6537;0345407083;6 
 6537;0385488947;5 
 6537;0385492235;7 
 6537;0385722206;6 
 6537;0425161285;7 
 6537;0446516538;4 
 6537;0446522384;5 
 6537;0446524182;8 
 6537;0446672211;8 
 6537;0670865796;8 
 6537;0671729462;7 
 6537;0671785141;7 
 6537;0671891650;7 
 6537;0684853507;7 
 6537;0722513585;4 
 6537;0761516735;10 
 6537;1570671222;10 
 6543;0002712172;7 
 6543;0060002433;6 
 6543;0060093595;7 
 6543;006019295X;7 
 6543;0060503467;7 
 6543;0060523905;4 
 6543;0060745908;10 
 6543;0060958111;7 
 6543;0060987103;10 
 6543;0061009059;8 
 6543;0061009504;10 
 6543;0061020710;6 
 6543;0061031550;9 
 6543;0061099015;6 
 6543;0061099643;6 
 6543;0066211239;9 
 6543;0066212545;8 
 6543;0066212901;7 
 6543;0132265859;8 
 6543;0140065504;8 
 6543;0140092862;8 
 6543;0140119507;8 
 6543;014025448X;8 
 6543;014025644X;7 
 6543;0140257934;7 
 6543;0140265686;7 
 6543;0140270590;7 
 6543;0140280553;6 
 6543;0140280898;8 
 6543;0141002166;5 
 6543;0142000361;6 
 6543;0142001740;9 
 6543;0142004278;6 
 6543;0312042779;7 
 6543;0312099436;10 
 6543;0312267568;9 
 6543;0312282621;10 
 6543;0312282664;9 
 6543;0312287984;7 
 6543;0312289723;8 
 6543;0312306326;6 
 6543;0312313810;6 
 6543;0312318898;10 
 6543;0312951469;10 
 6543;0312963238;9 
 6543;0312964285;9 
 6543;0312966679;9 
 6543;0312966695;7 
 6543;0312978863;8 
 6543;0312979096;7 
 6543;0312980140;8 
 6543;0316107093;8 
 6543;0316365521;10 
 6543;0330243616;8 
 6543;0345297709;6 
 6543;0345326490;8 
 6543;0345342968;8 
 6543;0345436911;8 
 6543;0345443128;7 
 6543;0345445848;7 
 6543;0345450302;7 
 6543;0374100128;5 
 6543;0374129851;8 
 6543;0375411070;10 
 6543;0375422412;7 
 6543;0375502971;10 
 6543;0375505296;7 
 6543;0375508112;7 
 6543;0375704027;9 
 6543;0375709118;7 
 6543;038000741x;8 
 6543;038072975X;8 
 6543;0380780860;6 
 6543;0380784491;8 
 6543;0380792745;9 
 6543;0380806355;4 
 6543;0380813815;10 
 6543;0380842939;8 
 6543;0380978415;8 
 6543;0385488181;7 
 6543;038548951X;10 
 6543;0385495420;7 
 6543;0385721420;7 
 6543;0385722206;6 
 6543;039305747X;7 
 6543;0395836220;5 
 6543;0399149422;5 
 6543;0399149562;6 
 6543;0399150854;7 
 6543;0399152288;7 
 6543;0399237232;6 
 6543;0425143538;8 
 6543;0425192725;8 
 6543;0425196429;7 
 6543;0440212561;8 
 6543;0446604658;8 
 6543;0446605484;10 
 6543;0446606928;6 
 6543;0446610038;9 
 6543;0449004279;9 
 6543;0449911594;8 
 6543;0451165624;10 
 6543;0451179285;10 
 6543;0451197399;7 
 6543;0451205561;6 
 6543;0451206002;6 
 6543;0451207246;7 
 6543;0451209028;7 
 6543;0451452739;5 
 6543;0515075078;8 
 6543;0515075345;8 
 6543;0515076066;7 
 6543;0517163128;8 
 6543;0553109243;9 
 6543;0553109359;7 
 6543;0553251481;10 
 6543;0553274503;8 
 6543;055356773X;6 
 6543;0553569619;7 
 6543;0553574566;8 
 6543;0553575279;9 
 6543;0553575295;9 
 6543;0553580078;6 
 6543;055358281X;6 
